Date,Username,Name,Location,Followers,Text
2020-04-19 23:45:53,@taetaestress,Tori,,610,COVID-19 spreading Africa would be an absolute disaster. They are already battling a locust crisis and adding this on top of that will devastate the continent even more.
2020-04-19 23:45:52,@gabymenta,GAby Menta,Latam - USA,97357,#coronavirus news https://t.co/NqC1x0DCFj
2020-04-19 23:45:52,@ChrisRstrib,C. Riemenschneider,"Minneapolis, MN",11351,Good news: MN piano great Nachito Herrera has returned home after COVID-19 hospitalization. https://t.co/jiFjUR8ZFO
2020-04-19 23:45:52,@syedimamasif,Syed Imam,Canada Milton,297,@antonioguterres @TariqRamadan How can we identify that The #Quran is the Only #Book of #God? https://t.co/siWIlPhkMo   Adhan by Muhammad Shaikh  https://t.co/SYwdxPycrx   #MuhammadShaikh #ServantOfAllah #COVID19  #Coronavirus #virus #Ramadan2020 https://t.co/EcMaPHboVc https://t.co/3Fh8RG7cwd
2020-04-19 23:45:52,@_TC3__,#Grind2Shine,,652,Nah my friend just sent me a screenshot of someone outside with covid -19 playing basketball with ppl 🤦🏽‍♀️ This is why outside is never going to open back up smh
2020-04-19 23:45:51,@tunstila,Tunde .O,Abuja,579,"At this point, I think we need the military to help enforce this lockdown. The lackadaisical attitude of Nigerians to this pandemic is scary. The most shocking is some don't believe this COVID-19 thing is real. https://t.co/zwiESr4b41"
2020-04-19 23:45:51,@TracyCavalli,Tracy Cavalli,"North West, England",34,@NTarnopolsky Madison Square Gardens - Simon and Garfunkel 💔🇬🇧 sound of Silence #InThisTogether #coronavirus #COVID19 STAND BY ME
2020-04-19 23:45:51,@eetz_naheem,tweet GOAT 💤 نعيم,Apex,20362,"I live in Lagos,  States at home and got robbed.  What's government doing for our loss? Nothing!  Lagosians are facing worse than Covid-19  Help us stay safe, both in and out 🙏 🙏 🙏"
2020-04-19 23:45:51,@Nyamori_Joshua,Joshua Nyamori,,1178,@RobertAlai The Covid 19 containment campaign led by Hon. Mutahi Kagwe is quickly wobbling and sinking into an amarture state propaganda onslaght to spread fear and despondency to gain more control. Homabay coffin propaganda debacle is a shame unworthy of a ministerial address on national TV
2020-04-19 23:45:51,@LAXbiologist,ANDY Qalifornia,"Washington, DC",111,@shannonrwatts Remember when all those people in Italy had to defend themselves with guns because of Covid-19 virus?
2020-04-19 23:45:51,@Aliyumidasawa59,BETARA YAS BEMI,"Abuja, Nigeria",615,"Becouse of the contradiction I said may be the covid-19 machine for test isn't functional, or the state don't have. If not why some state are reporting the cases but Borno was too quiet. https://t.co/CNG9FwFGPr"
2020-04-19 23:45:50,@CMRichards6,C M Richards,,39,"@TheTodayShow @DavidCampbell73 even though the song was not written about covid-19 “isolation” by @BoyGeorge for your team song for the next few weeks it upbeat and the hook would send a good msg to us, your viewers @9NewsAUS"
2020-04-19 23:45:50,@ArielOrtizBobea,Ariel Ortiz-Bobea,"Ithaca, NY",2471,"We're at 200 ppl registered for Wednesday's webinar on COVID-19!   Next webinar will be on inequality and the environment, and the next one on climate. Please head to https://t.co/jLMoAdoMM4 to submit.   Feel free to contact @edrubin @amb396 or myself w/ Qs or funky ideas. https://t.co/9agzSM7LMk"
2020-04-19 23:45:50,@mzee26,mzee26,Texas,12269,Good! / Trump Says He’ll End Obama-Era Funding To Chinese Lab That May Have Spawned The Coronavirus https://t.co/t5og4A3npu via @dailycaller
2020-04-19 23:45:50,@StrategicThghts,David Schreck,"North Vancouver, BC",5515,#Trump showed his typical behaviour by responding to tough question by saying reporter doesn’t have the brains he was born with.  @realDonaldTrump thinks he can bully his way through #Coronavirus #pandemic. https://t.co/MZZv94sNq1
2020-04-19 23:45:50,@NusratNJ21,Najmin Sultana,"Chittagong, Bangladesh",7139,"#ArtificialIntelligence #chatbot #Covid_19 How can OLPORTAL's AI-powered neurobots benefit the public health system, Read this article to know more - https://t.co/QelRCNk1ta and visit official website."
2020-04-19 23:45:50,@NaturalLymphie,NaturalPaths4LymphaticWellness,"Winfield, IL",246,"District 214 student likely died of COVID-19, superintendent says another student in ICU https://t.co/JlBjen7QzA"
2020-04-19 23:45:50,@CephasRed,CephasRed,"Saskatoon, Sask, Canada",164,"@MeesePear I absolutely agree, but recently, I've been seeing reports and video footage of impatient protestors wanting to end the lockdown already due to the numbers lowering, and no, we should not allow this, or else hospitals WILL be overloaded with COVID-19 patients with no treatment!"
2020-04-19 23:45:49,@JustCanadianGal,Old Woman’s Chair,@world via Canada,477,Sex workers say they have been left out of Canada's COVID-19 response | CTV News  #mendisease  #sexworkers exist bc no rules for men  https://t.co/DPp5VuqH8Z
2020-04-19 23:45:49,@AMAN_Alliance,AMAN,Around the Mediterranean Sea,178,Lusa - Business News - Covid-19: Lisbon hostel evacueted-7 Portuguese health member is helped by a firefighter desinfecting the gloves as waithing the arrival of Hostel guests evacuated after a positive case of the new coronavirus (covid-19) ….. https://t.co/1t35kbEKlZ https://t.co/Rumyilhyl6
2020-04-19 23:45:49,@real_chisom,Real Chisom,Nigeria,94,"Another Minister of Health , NCDC handcarry ,   Buhari 33 Line, Nigeria  Bill Gate... No provoke  Covid-19 ooo!!! Hmm https://t.co/vHhx1CymGm"
2020-04-19 23:45:49,@Marzepan5,Lisoo Love Affair,,24,Break the lockdown and join these people! #WeAreTheRevolution #FloridaMoron #coronavirus  https://t.co/usCk5ZCeRd
2020-04-19 23:45:49,@APPRISE_CRE,APPRISE,Australia,893,"'Isolated within isolation': keeping out #coronavirus in the frozen Antarctic  Isolation takes on a new meaning as the only continent still free from the coronavirus looks to keep the #pandemic out.""  #COVID19au #COVID19 https://t.co/8JbYVryimQ"
2020-04-19 23:45:49,@oscarmikegolf1,oscarmikegolf,,224,"@realDonaldTrump For  MATH CHALLENGED Trump &amp; the EVAH-Trumpers. The RATE of DEATH for Covid-19 is &gt; 40X WORSE than ""just the flu"". That's a bad thing. The RATE of treatment per million in the USA is MUCH LESS than other countries. ALSO a bad thing. RATE vs ABSOLUTE numbers."
2020-04-19 23:45:49,@craigturnbull_,Craig Turnbull,Melbourne Australia,16380,"OK, a German newspaper send a 130Bn bill to Chinese Communist Party - I'm looking forward to governments of the world doing the same. Let's see the truth come out #coronavirus #covid19 https://t.co/B0zJ386Ug2"
2020-04-19 23:45:48,@PauIRob,Rob,In Lincoln Green..,267,I’ll stick my neck out.. There will be a decline in cases throughout the summer.. A second wave will appear later in the year..  To stay locked down through summer will prove more unhealthy than the virus..  #skypapers #coronavirus #lockdown #StayHome https://t.co/sF84YcMWHb
2020-04-19 23:45:48,@AjtRob,Robert A.J.T,Earth,45,"Dinner from yesterday was good. Homemade food. Better than all this eating out that I'm constantly reading about.  Man, today's society really needs to learn to cook. #COVID19 #coronavirus #StayatHome #cooking #food #HomemadeFOOD https://t.co/lHLJywGGDr"
2020-04-19 23:45:47,@KristenFitzpat1,Kristen Fitz,"Not Far From Boston, MA",1237,Who'd have thought #coronavirus would bring Massachusetts and New York together? https://t.co/sZERNpyhkP #NorthEastWorkingGroup
2020-04-19 23:45:47,@BoClearman,Bo Clearman,Austin TX,743,"Travis County new Covid-19 cases:  4/15 - 77 4/16 - 52 4/17 - 45 4/18 - 18 4/19 - 16  I thought we might have a spike after people getting together on Easter weekend but so far, so good!  #coronabegone #atx #Covid19"
2020-04-19 23:45:47,@saulocolon,saulo socialista 🇵🇷 #cancelrent,Boricua en la Izquierda ,396,Puerto Rico Health Department’s math is wrong. The number of confirmed positive COVID19 cases that have been reported can reflect a double or even triple count. The Dept confirmed it has no protocol in place to manage and inform the test results https://t.co/nq3ZDlDPMs via @cpipr
2020-04-19 23:45:46,@thejewishlink,The Jewish Link,,262,Hamas Embezzles Humanitarian Aid to Gaza Amid COVID-19 Crisis https://t.co/m6Ju0GfNpN https://t.co/KAkrmCv9NN
2020-04-19 23:45:46,@vjpc97,Víctor Padilla,,208,We now use industrial toilet paper instead of small rolls. Officially COVID-19 has taken away THE ONE benefit of being back home from college.
2020-04-19 23:45:45,@shespkstherapy,Asha,"Louisiana, USA",20,"start your week running on [overflow] instead of [empty].  YOU are a PRIORITY! today, fill your cup up with the most important ingredient you have- YOU! #sunday #mentalhealth #sundayvibes #happysunday #selfcaresunday #stayathome  #quarantine #COVID19 #coronavirus #TogetherAtHome"
2020-04-19 23:45:45,@TopFeaturedcom,TopFeatured.com,WorldWide,8792,"Coronavirus live updates: Washington recalls 12,000 #coronavirus test kits for possible contamination - #covid19 #pandemic #health #news https://t.co/E5fglzJG0W"
2020-04-19 23:45:45,@LloydOsten,Lloyd Osten,,225,@shawnmilrad I think the only place in North America with no Covid-19 cases is Nunavut.
2020-04-19 23:45:45,@donato356,Donato356,"Oregon, USA",117,"@Lrihendry Let's see...what other equipment can we get that we need without paying for it, by using this Covid-19 thing?..."
2020-04-19 23:45:44,@nmonego,Natasha Zimardi Berstein,"Seattle, WA",456,Well there's nothing strange about the USA offering help to Iran! They want to throw them a rope with which to always reign them. #Iran  #coronavirus  #USA  https://t.co/peUKcSIaPr
2020-04-19 23:45:43,@ryandtw_jpop,Ryan Walean (JPop),"Everett, WA, USA",194,"That was a bit of a long talk, hopefully COVID-19 calms down soon. But I'm also a little bit concerned if it will pick up again (second wave?) to a point that it could disrupt my plans to go to Japan in late November (primarily for Yanawaraba's last live concert)."
2020-04-19 23:45:43,@Hwnguyinjpn,HWNJPN,,145,"Kona cluster increases, spreads to a third McDonald's location. #Hawaii #Honolulu #Waikiki #Kailua #Kaneohe #Waimanalo #Oahu #Kona #Japan #Tokyo #Yokohama #Kanagawa #Osaka #Niigata #Travel #Tourism #Hotels #Resorts #Coronavirus #COVID19   https://t.co/Gy5hX1sXdd"
2020-04-19 23:45:43,@swaGGerscan,swaGGerscan.com,EARTH - Must be 18+,6693,🎗Gym owner creates fun challenge to stay active and motivated through quarantine by @samschweihs — https://t.co/p8bEwiyagU ——— #yoga #fitfam #LEGDAY #Quarantine #homeoffice #GymAtHome #workoutathome #SocialDistancing
2020-04-19 23:45:43,@MewyMongoose,MewyMongoose,United States,50,"So, I've decided to open Commissions and hope for the best ;w; 💜   Since Covid-19 and crappy stuff is happening, I'm open to pretty cheap, and I MEAN cheap work~ retweets are super appreciated if you can't afford to help uwu   Thank you for your time and consideration 💜😊 https://t.co/snJ5kbvzpr"
2020-04-19 23:45:42,@James_0756,James_Linforth,"Vancouver, Canada",4,@CPC_HQ Why is Andrew Scheer campaign trolling instead of trying to help fix the COVID-19 problem in Canada?
2020-04-19 23:45:42,@tmtcathyvalente,Catherine Valente,,278,"LOOK: President Duterte on Sunday night received a phone call from US President Donald Trump on bilateral cooperation vs Covid-19, says Sen. Christopher Lawrence ""Bong"" Go (📷: Go) @TheManilaTimes https://t.co/wqOBUqGulJ"
2020-04-19 23:45:42,@aidan_zabran,Aidan Zabran,Chicago ✨📍,39,@DaisyKeech @JackFreitag19 will treat you right during this covid-19 i think he deserves a “hello” 🥺🧊🛩
2020-04-19 23:45:42,@BCISLEMAN,Bill Both,"Terrace, BC CANADA",1651,@Yamiche @JDiamond1 The Donald has done such a great job.  America is #1  In #Covid_19 cases  In #Covid_19 deaths  22 million unemployed
2020-04-19 23:45:42,@MrBill_Resists,Mister_Bill Resists🌊🌊,"Yinzer, PA, USA",3583,I'm hearing reports that 300 Florida Nursing homes are infected with the COVID-19. But DeSantis thinks it's a great idea to open up business as usual.    https://t.co/LUneNIVcgw
2020-04-19 23:45:41,@Ayomideh12,Ayomideh,"Lagos, Nigeria",4,@NCDCgov Covid-19 is ranging all over d world https://t.co/Sf3oG8mD12
2020-04-19 23:45:41,@paestum2020,Wind in the Willows,"New York, NY",25,@davidaxelrod @weijia @CBSNews Why does Trump think everyone has to praise and thank the members of the Covid-19 team for doing the jobs they are being paid to do?
2020-04-19 23:45:41,@aftjae,Dr Anne Townsend,"Vancouver, Teignmouth",1779,Florida: endangered sea turtles thriving thanks to Covid-19 restrictions https://t.co/mvMkClMyNr
2020-04-19 23:45:41,@Constance_1916,Ann,,21,"@alexsalvinews @OANN Not according to the CDC.    As of April 17, 2020  13,130 people have died from Covid-19.  Meanwhile, 45,019 have died from pneumonia.  This is turning out to be nothing more than a bad cold.  https://t.co/iLAsfOepXo"
2020-04-19 23:45:41,@ee_rickert,Eva 💀,,814,LOVE IN THE TIME OF COVID-19 https://t.co/QoqltU64FH
2020-04-19 23:45:41,@Bonnhere,B D,,566,"#Coronavirus Obama &amp; HRC had the worst media treatment ever. The media is trying to tell the truth but he insults them. Then he goes to Fox, the liar if all liars, and claims that it tells the truth. Chaos in his path. Very presidential...NOT!"
2020-04-19 23:45:41,@areyoumypal,Fintonio,"Dublin City, Ireland",105,"I’ve tried to actively avoid Trumps daily Covid-19 press briefings but I just caught a few mins there and they are WILD. Holy hell America, how? And like, why? And like.... don’t?"
2020-04-19 23:45:41,@ikoreal2005,Ikenna Ochei,,2435,Thank you Lord Jesus for the irreversible defeat of Covid-19. Bless the souls of all those it has victimized directly and indirectly. Glory to God 🙏
2020-04-19 23:45:40,@SepteusT,SepteusTwo,,9,Video: Mosque In U.S. Holds Daily Prayers Amid COVID-19 Lockdown While Christians Are Threatened and Fined Everyday https://t.co/8Kk8HBzMAA
2020-04-19 23:45:40,@mohdmujahid_ip,Mohammed Mujahid,"Hyderabad, India",91,@ANI Recovered Tablighi’s might need to get ready to help covid-19 patients by donating blood if someone is willing to take their blood to save his/her life. https://t.co/Lvolt7CQFe
2020-04-19 23:45:39,@Jjclovela,jjc,,40,Daily sht show continuing lies lies lies lies lies #Coronavirus
2020-04-19 23:45:39,@aigbokhai,Favour Umogbai,"Abuja, Nigeria",32,"COVID-19 Daily Global Update: WHO Confirms 81,762 New Cases, 6, 509 deaths. https://t.co/Jo7YNmilfA"
2020-04-19 23:45:39,@WIZSRadio,WIZS,"535 Radio Lane, Henderson, NC",596,"Latest Covid-19 Vance Co. and ""Recovery"" Info https://t.co/GWJT7R5BRi #covid19 #hendersonnews https://t.co/Wk97w7Kaxp"
2020-04-19 23:45:39,@RachelBarkow,Rachel Barkow,,13904,"""You [would] think [the Bureau of Prisons] would have taken some precaution 10 or 14 days earlier to be halfway ready for this thing, especially when you got about 2,000 inmates and about 500 employees."" A must-read on the tragic failings of the BOP to handle COVID-19 https://t.co/MG8X70A78a"
2020-04-19 23:45:39,@edificelabs,Edifice Labs,Bangalore,215,@narendramodi Invoking the Divine Feminine.Please rescue us .We surrender. https://t.co/9zOL4UYdcE @narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP #COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona
2020-04-19 23:45:37,@johnndavis,John N. Davis,Toronto,311,"20200419: Roxanne Mykitiuk, Trudo Lemmens: Assessing the value of a life: COVID-19 triage orders mustn't work against those with disabilities [""Governments need to affirm ethical and human rights obligations to persons with disabilities"" https://t.co/30C7ruKW7s"
2020-04-19 23:45:37,@bfitzgerald76,Barry Fitzgerald,,530,Trump is outdoing himself tonight in this press conference. What a disgusting individual...what a dangerous disgrace of a man he is #COVID19 #TogetherAtHome #coronavirus
2020-04-19 23:45:37,@ZDNet,ZDNet,USA | UK | Asia | Australia,455416,FBI says cybercrime reports quadrupled during COVID-19 pandemic https://t.co/y7Igjaal8X
2020-04-19 23:45:37,@car0linef0ley,caroline naomi foley,the decimal labyrinth,1551,"and then waking up half an hour after midnight and realizing yes, i have my copy of fanged noumena on the bedside table, i overslept, everyone on earth is still in quarantine because of the COVID-19 pandemic, nothing is really happening, THIS is reality, this is the one reality."
2020-04-19 23:45:37,@vitorpi,Vítor Pires,,143,@cabralzn @lindismoon @pyongleeeeeeee @daivdbowie @PyongLeeTV covid -19
2020-04-19 23:45:37,@Bluedog53,Impeached Deplorable Ben Franklin ❌,,932,#FakeNewsCNN is an embarrassment to the entire country. NOTHING BUT HATE comes from them. A company of scumbags.   #coronavirus #COVID19 #coronavirusbriefing
2020-04-19 23:45:36,@Abril7,Abril Lech♡,"Buenos Aires, Argentina",869,"Camila Cabello &amp; Shawn Méndez, What a wonderful World  #TogetherAtHome #QuedateEnCasa #coronavirus  #cuarentena #convida #COVID19  https://t.co/AEELonmJjE"
2020-04-19 23:45:36,@ChicagoEl,Elliott Ramos,"Chicago, IL",2245,"We mapped out the nursing home #coronavirus cases in Illinois after the state released data following reporting by @wbez‘s @ChipMitchell1, @estheryjkang and @AldenLoury  https://t.co/XmavZIRmXr"
2020-04-19 23:45:35,@KodjoElikem,Justice,Ghana,248,@sethaadusei I agree with you.... It is a tough call.... An impossible job. Choosing between saving the economy and stopping the spread of Covid 19. The country is bleeding economically.. Moodys have downgraded our credit ratings. I feel for Nana
2020-04-19 23:45:35,@TheFisola,先生,Why u wan know? Kidnapper oshi,4693,"Nothing is really set in stone. Tomorrow is not guaranteed. Almost everything changed for covid-19. Football, Remote culture, Events etc.  Basically be ready for your cheese to be moved and move to find its new location. https://t.co/2j0LjEfGOA"
2020-04-19 23:45:35,@Up4Yes,TheLadyInRead,,296,"Thanks @JDiamond1 4 asking #Trump y he's backpatting himself in the midst of ppl dying. #POTUS now babbling. And to make sure he thinks he's making Jeremy Diamond look bad ""you don't have the brains you were born with"" is hilarious coming from #idiotinthewhitehouse. #coronavirus"
2020-04-19 23:45:35,@Spaiceman4,Spaiceman,,3,Fuck u Covid-19
2020-04-19 23:45:34,@memew_gulf,•𝒢𝓊𝓁𝒻 𝒮𝓊𝓅𝓅𝒶𝓈𝒾𝓉 •,,44,I wonder what's it like to be attractive. Will the world take it easy on us?  #coronavirus https://t.co/YN4FpxzjH4
2020-04-19 23:45:34,@GeminiFreedom,QAnon Continuum🗽,Following the White Rabbit,1626,"@WhiteHouse @realDonaldTrump I wonder if the #FakeNews media, Congress, ... would keep pushing the mantra for a 'nationwide lockdown' if they lost their jobs; no, rather they would tweet ""open up America"".  #FakeNewsEpidemic #coronavirus  #QAnon #Plandemic  #sundayvibes https://t.co/gip03VPVkO"
2020-04-19 23:45:34,@teensforseniors,Teens Helping Seniors,"Montgomery County, Maryland",152,"We spoke today with teenagers in Kentucky, upstate New York, and Virginia interested in starting THS chapters, as well as members of the development team behind COVID-19 Assist (@farhanahmad and Saad Baig). Excited to work with you all! https://t.co/Tu8uPhj633"
2020-04-19 23:45:34,@lmtnews,Laredo Morning Times,"Laredo, Texas",13960,LBJ teacher discusses battle with COVID-19 https://t.co/gL24HHBj68
2020-04-19 23:45:33,@starsrats,x🐅,Austria,443,@NCDCgov We are ready to fight Covid 19 we wld defeat it like we defeated Ebola   Covid 19 come every where bust 1 second   Numbers Dey Rise like Stock Exchange
2020-04-19 23:45:32,@AnalyticaGlobal,Global Analytica,Worldwide,2384,Will the fans return to the stands after coronavirus? https://t.co/DIgqmgePRf
2020-04-19 23:45:32,@AdamLambert_INA,GlambertELF,Indonesia,2771,"Kesha, Adam Lambert, Melissa Etheridge And More Confirmed For GLAAD's COVID-19 Livestream Event  https://t.co/MAwO2tG8Gr"
2020-04-19 23:45:31,@itzskyeuwu,Skye ✨🦡,pfp: @kyrative,388,"@jay34562224 @pniv98 @yee_toast @EternalPainSky @Sean_Flores_15 @HpwkRewritten @Struggle_Tweet if WHO could be pressured into making decisions, the chinese government would have them downplay the spread of COVID-19. These are HEALTH OFFICIALS"
2020-04-19 23:45:31,@edificelabs,Edifice Labs,Bangalore,215,@narendramodi @KingAbdullahII Invoking the Divine Feminine.Please rescue us .We surrender. https://t.co/9zOL4UYdcE @narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP #COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona
2020-04-19 23:45:31,@wanakmal_wz,Wan Akmal WZ #StayHome,KL ~ Perak,704,Day 34  Stay at home. Stay safe. Together we fight Covid-19!   Happy Monday. Good morning.  #PerintahKawalanPergerakan #DudukRumah #StayAtHome #StaySafeStayHome #Covid19  #PrayForMalaysia
2020-04-19 23:45:30,@BrianSwiftie13,Flyin Brian,"Tennessee ,USA",18704,@JordanUhl @HumanistReport is she really Equating Covid 19 to something the Right always tries to take away from women......  i see Covid 19 found stupid people to expose
2020-04-19 23:45:30,@Ildiko_Santana,Ildiko Santana,,130,"California should suspend Assembly Bill 5 #AB5 in the wake of the #coronavirus #pandemic https://t.co/6DVtJGdFYQ Repealing AB5 will not be the only solution to helping Californians find work as we face this #crisis, but it will absolutely help. #RepealAB5 #suspendAB5 @GavinNewsom"
2020-04-19 23:45:30,@mozartplayer,Jim  Corbett,Nirvana,2027,"New MI  #coronavirus cases of 633 is daily low for April (I understand Wayne Cty having such high counts, but why Oakland County - 21st highest family income in U.S.? Kent Cty 52% population of Oakland, but 8.3% cases. ⁦@GovWhitmer⁩ ⁦@MLive⁩  https://t.co/TvTRjG0dee"
2020-04-19 23:45:30,@lovetrustobey,Kaminer living love,SC,1398,God bless our PRESIDENT who tries to give GLORY to ALL the many workers who have UNITED to fight this curse of COVID-19. May God give @POTUS strength &amp;wisdom in dealing with antagonistic #reporters who think they can trip him up.#Americans are seeing the attitudes.God have mercy.
2020-04-19 23:45:30,@deulexco,deulex,,0,Together we adapt to flatten the curve. Cloth face masks are effective at limiting the spread of Covid-19 and together we will overcome. https://t.co/l0fKAL9Vd1
2020-04-19 23:45:29,@panzogame1,Panzo,"Bruxelles, Belgique",23,WARZONE TOP 1 (FEAT THE ONE - THE END - RICKY) #Warzone #Walkthrough @InfinityWard @Activision #coronavirus #PS4 https://t.co/X3kWee17Jh
2020-04-19 23:45:29,@YvonneDeane,Yvonne #stayathome Deane,,407,Have just discovered excellent global &amp; UK COVID-19 stats &amp; charts from @jburnmurdoch - illuminating! https://t.co/wmvJkBonhf
2020-04-19 23:45:28,@MotivatedVoter,Motivated Voter,STL base | Always in transit,1757,@k_atanasoff @florian_krammer Not awkward. Sad.  RNs in my family are weary. One fam member now struggling w/#coronavirus - possibly brought home from ER/ICU nurse in house. Literally sick to my stomach watching fools protesting today. They are putting MY fam in more danger. 🙁😔
2020-04-19 23:45:27,@HidalgoCounty,Hidalgo County,"County Seat: Edinburg, TX",17195,Six more in Hidalgo County test positive for COVID-19; bringing total number of positive cases to 261 #stayhome #savelives https://t.co/AhedkcSHhx
2020-04-19 23:45:27,@MeetThePress,Meet the Press,"Washington, D.C.",630827,FULL INTERVIEW: Vice President Mike Pence joins #MTP to talk about the White House coronavirus guidelines for states and the ongoing testing backlog.  https://t.co/bm3mh40D0N https://t.co/82dsZOiV1j
2020-04-19 23:45:27,@Primal_Digest,Primal Digest,,28466,@bestnaunieever @sxdoc Pritzker gives up on COVID-19 help from Trump: ‘I don’t expect it anymore’ https://t.co/TirjwQ4Dh2 https://t.co/5ucRcBcDbO
2020-04-19 23:45:26,@thepreco9dayz,THE DRIP DISTRIBUTOR💧,"Lagos, Nigeria",24868,@Taofeek__ Shebi you want to be at risk of catching the Covid 19?
2020-04-19 23:45:26,@arfangr8,ARFAN ALI,"Punjab, Pakistan",236,Amazon is developing its own COVID-19 test for workers https://t.co/xJFEGAbi8l https://t.co/bKZayxn7m1
2020-04-19 23:45:26,@Primal_Digest,Primal Digest,,28466,@cbecketts @Iknowbettanow Coronavirus: Florida to open beaches despite rising infection rates https://t.co/OMA1GtzDXp https://t.co/OZpwD1zrUX
2020-04-19 23:45:26,@joehunter,Joe Hunter,Dublin/Donegal/Eire,463,Lead vaccine researcher at Oxford Uni says prospects of COVID-19 vaccine are 'very good'  https://t.co/Ar4p80t3Kt
2020-04-19 23:45:25,@edificelabs,Edifice Labs,Bangalore,215,@narendramodi @PMBhutan Invoking the Divine Feminine.Please rescue us .We surrender. https://t.co/9zOL4UYdcE @narendramodi @realDonaldTrump @EmmanuelMacron @AngelaMerkeICDU @KremlinRussia @AbeShinzo @BarackObama @ScottMorrisonMP #COVID #Covid_19 #quarantine #QuarantineLife #StayAtHome #StayHome #Corona
2020-04-19 23:45:25,@CtgjrJr,@CTGJR,midwest ,2323,Governors Call Out Trump | Talking Points Memo https://t.co/T2tU7n8Em9
2020-04-19 23:45:24,@strikerpaul,Paul Thompson,"Wellington, New Zealand",1791,Families split by Covid-19 border restrictions https://t.co/VVwUCEQj25
2020-04-19 23:45:24,@AnthonyRamey13,Anthony Ramey,"South Los Angeles, Los Angeles",44,Racism is Racism no matter the explanation   https://t.co/C2KdbWACkm
2020-04-19 23:45:24,@Tavitafaamausil,Get Saved Dave,,3631,"If Covid 19 taught you this, LoL   Fuckin attention whores https://t.co/MmaKDstEOA"
2020-04-19 23:45:23,@letitwork1,Shellie Ferguson,"Maryland, (Straight Outta DC)",234,"@ddale8 In the United States cases have surpassed 7300. New York remains the hotspot of the US outbreak with a reported 2480 cases of COVID-19 with 16 linked deaths. Across the country in Washington State, there have been more than 1000 confirmed cases, with 55 associated deaths reported"
2020-04-19 23:45:23,@SolNataMD,Natalia Solenkova,"Miami, Florida, USA",1097,Perfect!   #COVID19 #coronavirus #medtwitter #healthcare #LockdownProtests #SocialDistancing #socialisolation https://t.co/kskqj2OGDh
2020-04-19 23:45:23,@Spockarama,Spocky #FederalICAC.,"Gold Coast, Queensland",1267,"Younger people are experiencing severe illness and dying from COVID-19, despite perceptions that the disease is only a threat to the elderly, the World Health Organisation has warned. https://t.co/C8ivHnXQOQ #auspol https://t.co/GBhydva4G0"
2020-04-19 23:45:23,@DogwLibrary36,Dogwood LLC,,90,"Our first Read Aloud is now posted. We are reading Rock Monsters, a story about COVID-19, written by local mom Amanda Marshall. Look for the suggested follow up activity in the Read Aloud webpage.  https://t.co/xJmYoWyCEL"
2020-04-19 23:45:23,@billhowe,Bill Howe,Florida and Connecticut,499,NYC Human Rights Commission Forms COVID-19 Team After Anti-Asian Discrimination Skyrockets https://t.co/YjqbfxGVo2
2020-04-19 23:45:23,@kamimagic,"I am me, call me Kami 💜🕊","New Jersey, USA",10616,"@atrupar @weijia Thank you @weijia for asking the questions and not backing down. He is trying to rewrite history and it is up to you, the reporters, to make sure that he and his administration, is held accountable for their inaction which resulted in numerous deaths due to COVID-19."
2020-04-19 23:45:22,@gilhova,"Gil Hova, socially acting at a distance",Jersey City/NYC,5744,"FYI, there are plenty of copies of The Networks to go around.  Stores not having it in stock is an issue with distribution, which COVID-19 is exacerbating. https://t.co/8kdZ5pUVkF"
2020-04-19 23:45:22,@cctish,colleen tishlias,Dallas Texas,101,Dallas County’s deadliest week accounts for more than half of county's total COVID-19 deaths | https://t.co/JXUb4ZTlkA https://t.co/udBeEVdGWF
2020-04-19 23:45:21,@NCmtndog,Mtndog,,55,@maddie1012 My 85 year old father-in-law passed away last week from Covid-19.
2020-04-19 23:45:20,@lillie26269055,lillie,,3,"I really don't understand the world. You reopen parks, schools and other public places but I thought you were trying to stop the spread of the virus? #coronavirus #UKlockdown #govuk"
2020-04-19 23:45:20,@ShirleyHusar,shirleyhusar,Los Angeles California,24895,"How long will we have to walk around looking like this? Life in. #covid-19 #CALIFORNIA. How long will California be shut down? Eric Garcetti and Gavin Newsom will hold California hostage in this #pandemic,  yet the… https://t.co/FpVJidsYEi"
2020-04-19 23:45:19,@inquirerdotnet,Inquirer,Makati City,3076609,"The DOF said the country’s two biggest revenue agencies collected P600.86 billion in taxes and import duties from January to March, down 1.7 percent from P611.03 billion during the same period last year. | @bendeveraINQ https://t.co/lvoNY5dicI"
2020-04-19 23:45:18,@HackettstownPD,Hackettstown Police,"Hackettstown, NJ",2989,UPDATE (4/19/20): There are 50 confirmed cases of COVID-19 in Hackettstown and 7 recovered. There are 607 confirmed cases and 84 recovered in Warren County. (From The @WCHealth Dept.) https://t.co/XM6aF7qy0O
